Time,Kind,Reason,Code,TAC(ns),ParentCmdTime,ParentCmdName
2150,Command,CommandGating_RnBHigh,30,,0,
3510,Address,AddressGatingFailed,B0,,3455,Program
8000,Command,AmbiguousCLE_ALE,10,,0,
11815,Command,CommandGating_RnBHigh,30,,0,
12745,Address,AddressGatingFailed,B0,,12690,Program
14375,Address,AddressGatingFailed,B0,,14320,Program
14690,Command,CommandGating_RnBHigh,30,,0,
16820,Command,CommandGating_RnBHigh,30,,0,
17280,Command,AmbiguousCLE_ALE,10,,0,
17350,Command,AmbiguousCLE_ALE,10,,0,
19195,Address,AddressGatingFailed,B0,,19140,Program
20355,Command,CommandGating_RnBHigh,30,,0,
23395,Address,AddressGatingFailed,B0,,23340,Program
27870,Command,CommandGating_RnBHigh,30,,0,
28795,Address,AddressGatingFailed,B0,,28740,Program
29935,Command,CommandGating_RnBHigh,30,,0,
32100,Command,CommandGating_RnBHigh,30,,0,
32560,Command,AmbiguousCLE_ALE,10,,0,
34335,Command,AmbiguousCLE_ALE,10,,0,
36955,Command,AmbiguousCLE_ALE,10,,0,
39565,Command,AmbiguousCLE_ALE,10,,0,
40475,Command,AmbiguousCLE_ALE,10,,0,
40600,Address,AddressGatingFailed,B0,,40545,Program
42635,Address,AddressGatingFailed,B0,,42580,Program
44220,Command,tCMDHShort,30,15.00,0,
44270,Command,tCMDHShort,20,15.00,0,
44320,Command,tCMDHShort,10,15.00,0,
44415,Address,tADDHShort,A0,25.00,44370,Program
